model,dt_mean_f1,dt_var_f1,ft_mean_f1,ft_var_f1
cnn,0.2589189600298566,0.06063277763773792,0.4802318787844282,0.00645407375683571
lstm,0.2871858793371295,0.07451753685679292,0.2138677707120027,0.062064902436269276
