model,target_domain,base_f1,advanced_f1,improvement,pct_improvement
cnn,FD001,0.4857142857142857,0.7446808510638298,0.25896656534954404,53.316645807259064
cnn,FD003,0.0603907637655417,0.6027397260273972,0.5423489622618556,898.0660757453674
cnn,FD004,0.1231432678485865,0.3172866520787746,0.19414338423018812,157.6565147425691
lstm,FD001,0.7255813953488373,0.7105263157894737,-0.015055079559363582,-2.074898785425109
lstm,FD003,0.1085271317829457,0.52,0.4114728682170543,379.14285714285734
lstm,FD004,0.5005561735261401,0.5576131687242798,0.05705699519813967,11.398719707361682
