model,target_domain,direct_transfer_f1,fine_tuned_f1,improvement,accuracy,roc_auc
cnn,FD001,0.1858190709046454,0.4857142857142857,0.2998952148096403,0.9788152216555512,0.9877633115654099
cnn,FD003,0.0704225352112676,0.06039076376554174,-0.010031771445725854,0.8841267523364486,0.8738892096027362
cnn,FD004,0.4129353233830846,0.1231432678485865,-0.2897920555344981,0.8926087849534932,0.9212243715859652
lstm,FD001,0.3034482758620689,0.7255813953488373,0.42213311948676835,0.9942134170262849,0.9977917301261765
lstm,FD003,0.0,0.10852713178294573,0.10852713178294573,0.9916033878504673,0.3608489711526617
lstm,FD004,0.5915915915915916,0.5005561735261401,-0.09103541806545146,0.9868255039464805,0.8040193891714521
