model,target_domain,base_f1,advanced_f1,improvement,pct_improvement
cnn,FD001,0.5505226480836237,0.5130890052356021,-0.03743364284802164,-6.799655378090007
cnn,FD003,0.4975124378109453,0.5741626794258373,0.07665024161489203,15.406698564593299
cnn,FD004,0.3926605504587156,0.4647887323943662,0.07212818193565057,18.369093063051196
lstm,FD001,0.0450885668276972,0.7172995780590717,0.6722110112313745,1490.8679927667292
lstm,FD003,0.0965147453083109,0.6419753086419753,0.5454605633336643,565.1577503429361
lstm,FD004,0.5,0.4779299847792998,-0.02207001522070018,-4.414003044140036
