model,target_domain,label_fraction,accuracy,f1_score,roc_auc
cnn,FD001,0.01,0.9897018438603374,0.2553191489361702,0.9778995447057618
cnn,FD001,0.05,0.9892114554727344,0.6308724832214765,0.9879473340548952
cnn,FD001,0.1,0.9916633974107493,0.5303867403314917,0.9786178781077
cnn,FD001,0.2,0.9788152216555512,0.4857142857142857,0.9877633115654099
cnn,FD001,0.5,0.9843075715967046,0.5555555555555556,0.9883484707973258
